ID;Naam;URL;Email;Straat;Huisnummer;Postcode;Gemeente;Telefoonnummer;Openingsuren
1;Dienst Vreemdelingen;www.kortrijk.be;burgerzaken@kortrijk.be;Grote Markt;54;8500;Kortrijk;056/ 27 72 60;
2;Onthaalbureau Inburgering West-Vlaanderen, regio Kortrijk;www.desom.be/inburgering;kortrijk@desom.be;Wijngaardstraat;11;8500;Kortrijk;056/ 32 44 86;
3;Dienst Rijbewijzen;www.kortrijk.be;burgerzaken@kortrijk.be;Grote Markt;54;8500;Kortrijk;056/ 27 72 30;
4;Federale Overheidsdienst;www.dofi.fgov.be;helpdesk.dvzoe@dofi.fgov.be;World Trade Center II - Antwerpsesteenweg;59B;1000;Brussel;02/ 205 54 02;
5;Raad voor Vreemdelingenbetwistingen;www.rvv-cce.be;;Gaucheretstraat;92-94;1030;Brussel;02/ 791 60 00;
6;OCMW;;;Budastraat;27;8500;Kortrijk;056/ 24 48 00;
7;Justitiehuis;;;Burgemeester Nolfstraat;51;8500;Kortrijk;056/ 26 06 31;
8;Bureau voor juridische bijstand;;;Burgemeester Nolfstraat;10A;8500;Kortrijk;056/ 26 95 55;
9;Sociaal Verhuurkantoor 'De Poort' vzw;;;Damastweverstraat;3;8500;Kortrijk;056/ 24 41 00;
10;Huurdersbond West-Vlaanderen;;;Spoorweglaan;7;8500;Kortrijk;056/ 24 42 50;
11;Eandis (Gaselwest);;;Meensestraat;91;8500;Kortrijk;078/ 35 35 34;
12;Vlaamse Maatschappij voor watervoorziening;;;Roggelaan;2;8500;Kortrijk;056/ 23 17 11;
13;Huis van het Nederlands;;kortrijk@hvn-wvl.be;Wijngaardstraat;11;8500;Kortrijk;0478/ 804 395;
14;VDAB - Werkwinkel - Kinderopvang;;;Lekkerbeetstraat;5-7;8500;Kortrijk;056/ 26 67 60;
15;Kind en Gezin-Lijn;www.kindengezin.be;info@kindengezin.be;;;;;;
16;Meldpunt Kinderopvang;www.kortrijk.be/kinderopvang;;Lekkerbeetstraat;5-7;8500;Kortrijk;056/ 26 67 84;
17;V.T.I. Kortrijk;;;Oudenaardsesteenweg;168;8500;Kortrijk;056/ 21 23 01;
18;Middenschool Drie Hofsteden;;;Hugo Verriestlaan;155;8500;Kortrijk;056/ 21 40 79;
19;Centrum voor Leerlingenbegeleiding Mandel en Leie;;;Burgemeester Nolfstraat;11-13;8500;Kortrijk;056/ 22 56 61;
20;Vrij centrum voor Leerlingenbegeleiding Groeninge;;;Kasteelstraat;27;8500;Kortrijk;056/ 24 97 00;
21;Stedelijk onderwijsopbouwwerk (stadhuis);;;Grote Markt;54;8500;Kortrijk;056/ 27 72 85;
22;JAC;;;Wandelingstraat;31;8500;Kortrijk;056/ 21 04 42;
23;Stedelijke Jeugddienst (Stadhuis);;;Grote Markt;54;8500;Kortrijk;056/ 27 72 77;
24;Stedelijke dienst Sport en recreatie;;;Bad Godesberglaan;22;8500;Kortrijk;056/ 27 80 00;
25;Stedelijke cultuurdienst (Stadhuis);;;Grote Markt;54;8500;Kortrijk;056/ 27 74 00;
