ID;ThemaID;Naam;Beschrijving;DienstSubthemaID;FotoURL
1;1;Nieuw in België;"Wanneer je als niet-Belg nieuw aankomt in Kortrijk, dan geef je het adres door waar
je woont aan de dienst Vreemdelingen.
Deze inschrijving is verplicht. Breng je identiteitsdocumenten (reispas+visum) mee.
De wijkagent komt langs om te controleren of je op het opgegeven adres woont. Daarna
nodigt de dienst vreemdelingen je uit om je verblijfsdocumenten in orde te maken. Denk er ook aan je adres door te geven aan alle diensten of organisaties waar je
contact mee hebt (bv. ziekenfonds, werkgever, bank, watermaatschappij, Gaselwest-
Electrabel, Commissariaat voor Vluchtelingen en Staatslozen , desgevallend
O.C.M.W., Dienst Vreemdelingenzaken, …). Ben je nieuw in België, dan kan je terecht
bij Onthaalbureau Inburgering West-Vlaanderen – regio Kortrijk.
Het inburgeringsbeleid is bedoeld voor vreemdelingen die zich langdurig in Vlaanderen
komen vestigen. Ook Belgen die niet in België geboren zijn en van wie minstens
één van de ouders niet in België geboren is, hebben recht op een inburgeringstraject.
Voor nieuwkomers die minder dan één jaar in België wonen of voor personen die
maximum één jaar terug erkend zijn als vluchteling is dit programma verplicht. Hij/zij
dient zich binnen 3 maanden op het onthaalbureau Inburgering aan te melden.";;subnieuwbelgie.png
2;1;Onthaalprogramma;"Het onthaalprogramma bestaat uit volgende onderdelen:
- Het volgen van een cursus maatschappelijke oriëntatie waarin je allerlei informatie
krijgt over wonen en werken in België, onderwijs, vervoer, gezondheidszorg, …
- E en geschikte cursus Nederlands die wordt gekozen op basis van het advies van
het Huis van het Nederlands.
- E en aanbod loopbaanoriëntatie in samenwerking met de VDAB om je kansen op
het vinden van werk te vergroten.
Er wordt van jou verwacht dat je het volledige pakket volgt en met regelmaat aanwezig
bent. Daarnaast kan je er ook terecht voor administratieve zaken zoals gelijkschakeling
van je diploma, een school of opvang voor je kinderen, …
Verder word je zo veel mogelijk geholpen om de weg te vinden naar de vele diensten
en organisaties waarmee je te maken krijgt.";;subonthaalprog.png
3;2;Wat mee hebben;"Deze documenten moet je altijd op zak hebben:
- V erblijfsdocument/identiteitskaart (iedereen, vanaf 12 jaar)
- S .I.S.-kaart (ziekteverzekeringskaart, zie ‘gezondheidszorg’)";;subwatmee.png
4;2;Aktes uit het buitenland;"Aktes uit het buitenland
Aktes uit het land van herkomst kunnen enkel beoordeeld worden indien ze voldoende
gelegaliseerd zijn en in het Nederlands, Frans, Engels of Duits opgemaakt
of vertaald zijn. De dienst behoudt zich echter het recht om – indien aktes bvb. niet
voldoende begrijpbaar zijn – een Nederlandse vertaling te kunnen vragen.
OPGELET: Om geldig te zijn moeten het origineel en de vertaling steeds aan elkaar gehecht
zijn. Met een stempel van de beëdigd vertaler, door het origineel en de vertaling.
Voor bepaalde procedures moet de akte steeds vertaald zijn in het Nederlands door
een beëdigd vertaler in België, bvb. voor het samenstellen van een huwelijksdossier,
voor een nationaliteitsverklaring,…
De dienst Vreemdelingen heeft een lijst liggen met daarop alle beëdigde vertalers in
het arrondissement Kortrijk.";;subaktesbuitenland.png
5;2;Verblijfsstatuten;"Alle Verblijfsstatuten
Voor informatie en advies omtrent alle verblijfsstatuten kan je terecht bij de dienst
Vreemdelingen.";;subverblijfsstatuten.png
6;2;Rijden;"Rijden
- Je moet altijd een geldig rijbewijs bij hebben, ook voor sommige bromfietsen heb
je een rijbewijs nodig.
- Personen afkomstig uit bepaalde landen kunnen in sommige gevallen hun geldig
en erkend buitenlands nationaal rijbewijs inruilen bij de dienst Rijbewijzen. Informatie
via het centraal informatiepunt, Nieuw Stadhuis. Anderen moeten opnieuw
hun theoretisch en praktisch examen doen.";;subrijden.png
7;2;Diploma's;"Diploma’s
Voor informatie over het erkennen van diploma’s of getuigschriften in België
(homologeren) kan je terecht bij:";;subdiploma's.png
8;2;Asielprocedure;"Asielprocedure
Om asiel aan te vragen in België, moet je je persoonlijk melden bij de Dienst Vreemdelingen
Zaken in Brussel:";;subasielprocedure.png
9;3;Gratis juridische bijstand;"Gratis juridische bijstand
Mensen met een laag inkomen (bijvoorbeeld OCMW – cliënten) kunnen gratis juridische
bijstand vragen (pro-deo advocaat). Hiervoor kan je terecht in het bureau voor
Juridische Bijstand, enkel op dinsdag om 11u00 of op donderdag om 11u00.
Het is belangrijk dat je een recent attest van gezinssamenstelling mee brengt en
stavingstukken voor je inkomsten.De dienst Rechtshulp (van het OCMW) verstrekt gratis juridisch advies over:
• bemiddeling bij de tegenpartij
• informatie en advies bij alle juridische problemen
• hulp bij verwijzing naar een advocaat, notaris, bevoegde dienst of instantie
• hulp bij een aanvraag voor gratis rechtspleging en/of een advocaat pro deo
• collectieve schuldenregeling";;subgratisjuridischbijstand.png
10;3;Algemene eerste vragen;"Bij diverse organisaties kan je terecht voor gratis juridisch advies. De Huurdersbond
behandelt huurproblemen (zie hoofdstuk Wonen). Met problemen op het werk kan
je terecht bij ondermeer de vakbond (zie hoofdstuk Werken)
Bij een notaris verkrijg je advies over aankoop huis, leningen, erfenissen,…
De lijst van notarissen vind je in de telefoongids bij de vrije beroepen.
In het Justitiehuis krijg je algemeen juridisch advies door justitieassistenten.
Indien nodig word je doorverwezen naar een advocaat of een gespecialiseerde dienst.
De advocaat geeft je enkel een eerste advies over een juridisch probleem.";;subalgemenevragen.png
11;4;Hoe zoek je een woning;"Hoe zoek je een woning?
- Kijk rond in de stad, meestal zie je een bord ‘te huur’
- Kijk in de krant, de week- en advertentiebladen
- Gespecialiseerde kantoren (immobiliënkantoren) helpen je zoeken
- Je kan je ook inschrijven voor een sociale woning. Die is over het algemeen goed
koper, maar is niet altijd onmiddellijk beschikbaar. Je doet best zo vlug mogelijk je
aanvraag, en dan word je op een wachtlijst gezet. Voor een sociale woning kan je
terecht bij Sociaal Verhuurkantoor ‘De Poort’ vzw, sociale huisvestingsmaatschappijen
en het Vlaams Woningfonds van de Grote Gezinnen.";;subwoningzoeken.png
