ID;Naam;URL;Email;Straat;Huisnummer;Postcode;Gemeente;Telefoonnummer;maandag ;dinsdag;woensdag;donderdag;vrijdag;zaterdag;zondag
1;Dienst Vreemdelingen;www.kortrijk.be;burgerzaken@kortrijk.be;Grote Markt;54;8500;Kortrijk;056/ 27 72 60;van 9 tot 12.30 uur en van 14 tot 19 uur;van 9 tot 12.30 uur;van 9 tot 12.30 uur en van 14 tot 16 uur;van 9 tot 12.30 uur;van 9 tot 12.30 uur;van 9 tot 11.30 uur;gesloten
2;Onthaalbureau Inburgering West-Vlaanderen, regio Kortrijk;www.desom.be/inburgering;kortrijk@desom.be;Wijngaardstraat;11;8500;Kortrijk;056/ 32 44 86;op afspraak;van 9 tot 12 uur;van 9 tot 12 uur en van 13.30 tot 16.30 uur;voormiddag op afspraak en van 13.30 tot 16.30 uur;namiddag op afspraak;gesloten;gesloten
3;Dienst Rijbewijzen;www.kortrijk.be;burgerzaken@kortrijk.be;Grote Markt;54;8500;Kortrijk;056/ 27 72 30;van 9 tot 12.30 uur en van 14 tot 19 uur;van 9 tot 12.30 uur;van 9 tot 12.30 uur en van 14 tot 16 uur;van 9 tot 12.30 uur;van 9 tot 12.30 uur;van 9 tot 11.30 uur;gesloten
4;Federale Overheidsdienst;www.dofi.fgov.be;helpdesk.dvzoe@dofi.fgov.be;World Trade Center II - Antwerpsesteenweg;59B;1000;Brussel;02/ 205 54 02;van 9 tot 12 uur en van 13 tot 16.30 uur ( tot 16 uur in juli en augustus);van 9 tot 12 uur en van 13 tot 16.30 uur ( tot 16 uur in juli en augustus);van 9 tot 12 uur en van 13 tot 16.30 uur ( tot 16 uur in juli en augustus);van 9 tot 12 uur en van 13 tot 16.30 uur ( tot 16 uur in juli en augustus);van 9 tot 12 uur en van 13 tot 16.30 uur ( tot 16 uur in juli en augustus);gesloten;gesloten
5;Raad voor Vreemdelingenbetwistingen;www.rvv-cce.be;;Gaucheretstraat;92-94;1030;Brussel;02/ 791 60 00;van 9 tot 16 uur;van 9 tot 16 uur;van 9 tot 16 uur;van 9 tot 18 uur;van 9 tot 16 uur;gesloten;gesloten
6;OCMW;;;Budastraat;27;8500;Kortrijk;056/ 24 48 00;van 8.30 tot 11.30 uur en van 13.15 tot 16.15 uur;van 8.30 tot 11.30 uur en van 13.15 tot 16.15 uur;van 8.30 tot 11.30 uur en van 13.15 tot 16.15 uur;van 8.30 tot 11.30 uur en van 13.15 tot 16.15 uur;van 8.30 tot 11.30 uur en van 13.15 tot 16.15 uur;gesloten;gesloten
7;Justitiehuis;;;Burgemeester Nolfstraat;51;8500;Kortrijk;056/ 26 06 31;van 14 tot 16 uur;van 14 tot 16 uur (mogelijk afspraak bij advocaat);van 14 tot 16 uur;gesloten;van 10.30 tot 12.30 uur;gesloten;gesloten
8;Bureau voor juridische bijstand;;;Burgemeester Nolfstraat;10A;8500;Kortrijk;056/ 26 95 55;gesloten;vanaf 11u;gesloten;vanaf 11u;gesloten;gesloten;gesloten
9;Sociaal Verhuurkantoor 'De Poort' vzw;;;Damastweverstraat;3;8500;Kortrijk;056/ 24 41 00;van 8.30 tot 11.30 uur;van 8.30 tot 11.30 uur;van 8.30 tot 11.30 uur en van 13.30 tot 16.30 uur;van 8.30 tot 11.30 uur;van 8.30 tot 11.30 uur;gesloten;gesloten
10;Huurdersbond West-Vlaanderen;;;Spoorweglaan;7;8500;Kortrijk;056/ 24 42 50;van 15 tot 17 uur;gesloten;van 15 tot 19 uur;gesloten;gesloten;gesloten;gesloten
